,Data,AUD,BGN,CAD,CHF,CZK,DKK,EGP,EUR,GBP,100 HUF,100 JPY,MDL,NOK,PLN,RUB,SEK,TRY,USD,ZAR,BRL,CNY,INR,100 KRW,MXN,NZD,RSD,UAH,AED,HRK,THB,XAU,XDR
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21.04.2022,3.3737,2.5279,3.6336,4.779,0.2027,0.6645,0.2439,4.9441,5.9197,1.3301,3.5393,0.2461,0.5159,1.0634,0.057,0.4815,0.3087,4.5321,0.2977,0.9805,0.703,0.0595,0.3667,0.226,3.0769,0.042,0.1541,1.2339,0.6538,0.1339,283.5402,6.1972
2,20.04.2022,3.3826,2.5269,3.6261,4.8003,0.2024,0.6643,0.2464,4.9422,5.9302,1.3309,3.5536,0.2477,0.5186,1.0669,0.0561,0.4818,0.3102,4.5496,0.3039,0.975,0.7098,0.0597,0.3682,0.228,3.087,0.042,0.1548,1.2386,0.6535,0.1348,284.9153,6.2161
3,19.04.2022,3.3741,2.5265,3.6323,4.8347,0.2023,0.6643,0.2477,4.9415,5.9615,1.3222,3.5636,0.2478,0.5176,1.0649,0.0575,0.4783,0.3121,4.575,0.3093,0.9831,0.7171,0.0598,0.3694,0.2309,3.0862,0.042,0.155,1.2456,0.6538,0.1356,290.646,6.242
4,18.04.2022,3.373,2.5266,3.6219,4.8526,0.2022,0.6644,0.2487,4.9416,5.9584,1.3172,3.6166,0.2477,0.5187,1.0694,0.0566,0.4782,0.3123,4.5789,0.3125,0.9748,0.7191,0.06,0.3707,0.2293,3.0832,0.042,0.1551,1.2466,0.6538,0.136,293.5093,6.2524
5,15.04.2022,3.3861,2.5274,3.6274,4.8508,0.2022,0.6645,0.2484,4.9432,5.9719,1.3149,3.6133,0.2456,0.5213,1.067,0.0563,0.4791,0.3124,4.5703,0.312,0.9718,0.7171,0.0599,0.3718,0.2288,3.097,0.042,0.1554,1.2442,0.654,0.1359,290.0444,6.2469
6,14.04.2022,3.3739,2.528,3.611,4.8471,0.2024,0.6647,0.2462,4.9443,5.952,1.314,3.6137,0.2475,0.5176,1.0654,0.0547,0.48,0.3099,4.5307,0.3093,0.9657,0.7109,0.0595,0.3696,0.2289,3.0882,0.042,0.1541,1.2335,0.6541,0.1345,286.9177,6.2161
7,13.04.2022,3.3875,2.5264,3.6074,4.8883,0.2021,0.6643,0.2464,4.9413,5.9334,1.3061,3.6179,0.2469,0.5176,1.064,0.0552,0.4783,0.3128,4.5622,0.3151,0.9759,0.7164,0.0599,0.3715,0.2311,3.0933,0.042,0.1552,1.2421,0.6541,0.1363,290.0147,6.2377
8,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
9,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
10,08.04.2022,3.3908,2.5268,3.6095,4.86,0.2017,0.6645,0.2478,4.9419,5.9298,1.3091,3.6634,0.247,0.5177,1.0647,0.0574,0.4798,0.3081,4.5455,0.3084,0.9563,0.7144,0.0599,0.3705,0.2257,3.1149,0.042,0.1546,1.2375,0.6538,0.1352,282.3543,6.2314
